,Names,Date,Month,Location,Notes,Link
0,Hack-commerce,Jan 27th - 29th,Jan,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8992-hack-commerce
1,Hackrithmitic 2,Jan 27th - 29th,Jan,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8991-hackrithmitic-2
2,Hoya Hacks,Jan 27th - 29th,Jan,"
          Washington,
          DC
        ",hybrid,https://hoyahacks.georgetown.domains/
3,QHacks,Jan 27th - 29th,Jan,"
          Ontario,
          Canada
        ",in_person,https://qhacks.io/
4,QWER Hacks,Jan 27th - 29th,Jan,"
          Los Angeles,
          California
        ",in_person,https://qwerhacks.com/
5,[email protected],Jan 28th - 29th,Jan,"
          Providence,
          Rhode Island
        ",in_person,https://2023.hackatbrown.org
6,hackTAMS,Jan 28th - 29th,Jan,"
          Denton,
          Texas
        ",hybrid,https://2023.hacktams.org/
7,McHacks,Jan 28th - 29th,Jan,"
          Montreal,
          Quebec
        ",in_person,https://www.mchacks.ca/
8,SpartaHack,Jan 28th - 29th,Jan,"
          East Lansing,
          MI
        ",in_person,http://www.spartahack.com/
9,TAMUhack,Jan 28th - 29th,Jan,"
          College Station,
          Texas
        ",in_person,http://tamuhack.com/
10,Black Wings Hacks,Feb 3rd - 5th,Feb,"
          Durham,
          North Carolina
        ",online,https://rewritingthecode.org/black-wings-hacks/
11,CruzHacks,Feb 3rd - 5th,Feb,"
          Santa Cruz,
          California
        ",in_person,https://www.cruzhacks.com/
12,Hack-ccelerate,Feb 3rd - 5th,Feb,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/9001-hack-ccelerate
13,Hack for the Future,Feb 3rd - 5th,Feb,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/9000-hack-for-the-future
14,Hack This Fall 3.0,Feb 3rd - 5th,Feb,"
          Gandhinagar GJ,
          India
        ",in_person,https://hackthisfall.tech/
15,UGAHacks 8,Feb 3rd - 5th,Feb,"
          Athens,
          Georgia
        ",in_person,https://8.ugahacks.com/
16,CUHackit,Feb 4th - 5th,Feb,"
          Clemson,
          South Carolina
        ",in_person,http://cuhack.it
17,HackViolet,Feb 4th - 5th,Feb,"
          Blacksburg,
          Virginia
        ",in_person,https://www.hackviolet.com/
18,PolyHacks,Feb 4th - 5th,Feb,"
          Montreal,
          Quebec
        ",in_person,https://polyhacks.io/#/en
19, Royal Hackaway v6,Feb 4th - 5th,Feb,"
          Egham,
          England
        ",hybrid,https://royalhackaway.com
20,Hacklytics 2023,Feb 10th - 12th,Feb,"
          Atlanta,
          Georgia
        ",hybrid,https://hacklytics.io/
21,Hackville 2023 ,Feb 10th - 12th,Feb,"
          Mississauga,
          ON, Canada
        ",in_person,https://hackville.io/
22,uOttaHack V,Feb 10th - 12th,Feb,"
          Ottawa,
          Canada
        ",in_person,https://2023.uottahack.ca
23,AuburnHacks,Feb 11th - 12th,Feb,"
          Auburn,
          Alabama
        ",in_person,https://auburnhacks.com/
24,Frontera Hacks,Feb 11th - 12th,Feb,"
          Weslaco,
          TX
        ",in_person,https://fronterahacks.com/
25,Pearl Hacks,Feb 11th - 12th,Feb,"
          Chapel Hill,
          NC
        ",in_person,https://pearlhacks.com/
26,WEHack,Feb 11th - 12th,Feb,"
          Richardson,
          Texas
        ",in_person,https://wehackutd.com/
27,ElleHacks,Feb 17th - 19th,Feb,"
          Toronto,
          Canada
        ",in_person,https://ellehacks.com
28,TransportHacks,Feb 17th - 19th,Feb,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/9007-transporthacks
29,Work-a-thon,Feb 17th - 19th,Feb,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/9006-work-a-thon
30,CrimsonCode Hackathon,Feb 18th - 19th,Feb,"
          Pullman,
          Washington
        ",in_person,https://crimsoncode2023.devpost.com/
31,HackSussex,Feb 18th - 19th,Feb,"
          Brighton And Hove,
          United Kingdom
        ",hybrid,https://www.hacksussex.com/
32,Hack Around the World 2,Feb 24th - 26th,Feb,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/9005-hack-around-the-world-2
33,WhiskerHacks,Feb 24th - 26th,Feb,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/9004-whiskerhacks
34,AthenaHacks,Feb 25th - 26th,Feb,"
          Los Angelos,
          California
        ",hybrid,https://athenahacks.com/
35,BrickHack 9,Feb 25th - 26th,Feb,"
          Rochester,
          NY
        ",in_person,https://brickhack.io/
36, Diversion 2k23,Feb 25th - 26th,Feb,"
          Kolkata,
          West Bengal
        ",in_person,https://diversion.tech/
37,RevolutionUC,Feb 25th - 26th,Feb,"
          Cincinnatti,
          Ohio
        ",in_person,https://revolutionuc.com/
38,[email protected],Mar 3rd - 5th,Mar,"
          Stony Brook,
          New York
        ",in_person,https://www.cewit.org/hackatcewit/
