,Names,Month,Link,Description
0,Google Summer of Code,January,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#1---google-summer-of-code-,"Google Summer of Code is a global program focused on introducing students to open source software development. Students work on a 3-month programming project with an open-source organization during their break from university."
1,JIIT Open-Source Developers Circle,January,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#2---jiit-open-source-developers-circle-,"JIIT Month of Code is an online programme by the open-source club of Jaypee Institute of Information Technology, JIIT Noida-128, the JODC, focused on introducing students to open source software development and documentation writing."
2,GirlScript Summer of Code,January,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#3---girlscript-summer-of-code-,"GirlScript Summer of Code is the 3 months long Open Source program during summers conducted by GirlScript Foundation, started in 2018, intending to help beginners get started with Open Source Development while encouraging diversity."
3,Outreachy,January,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#4---outreachy-,"Outreachy provides internships to work in open source and free software. Outreachy internships are open to applicants around the world. Interns work remotely and are not required to move. Interns are paid a stipend of $5,500 for the three-month internship. Interns have a $500 travel stipend to attend conferences or events."
4,"OpenCode IIITA",January,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#5---opencode-iiita-,"OpenCode is a month-long program for students to start their journey in the world of open-source. It starts in January.
The Only requirement is an enthusiastic heart to learn."
5,STEP(Google),February,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#1---stepgoogle-,"STEP program is a developmental opportunity for first- and second-year undergraduate students with a passion for technology—especially students from historically underrepresented groups in the field."
6,Google Summer of Code,February,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#2---google-summer-of-code-,"Google Summer of Code is a global program focused on introducing students to open source software development. Students work on a 3-month programming project with an open-source organization during their break from university."
7,Open Mainframe Project Mentorship Program- Linux Foundation,February,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#3---open-mainframe-project-mentorship-program--linux-foundation-,"The Open Mainframe Project funds mentees to complete projects during the period between semesters in the months of May, June, July, August, and September. Upon successful completion of the mentorship, mentees are invited to present at an industry conference. The Open Mainframe Project funds to travel and expenses for mentees.
First Program: July 1 – September 30
Second Program: August 1 – October 31
Third Program: September 1 – November 30"
8,Red Hat Open Source Contest,February,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#4---red-hat-open-source-contest-,"Red Hat Open Source Contest is a competition for students during which we want to show students how easy it is to participate in open source projects. Students can also get feedback on their code and get it included in a real project. By participating in the Red Hat Open Source Contest students can win nice prizes.
Exceptional participants may receive offers for an internship at Red Hat. The overall contest winner receives an e-shop coupon worth 10,000 CZK"
9,Codess,March,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#1---codess-,"Codess is a community for female coders initiated by Microsoft and was established to explore ways to promote gender diversity in the engineering field. Since its inception in 2013 in London, Codess has been inspiring women in engineering and helping them achieve their professional goals.
The best part: Approximately 30 participants were extended offers to intern at Microsoft ."
