,Names,Date and Time
0,Microsoft Security Virtual Training Day: Defend Against Threats and Secure Cloud Environments,01/22/2023 | 23:00 (GMT) - 01/24/2023 | 00:55 (GMT)
1,Modernise Your Customer Service Experience with the Microsoft Digital Contact Centre Platform,01/23/2023 | 09:00 - 10:00 (AEST)
2,Microsoft Azure Virtual Training Day: DevOps with GitHub,01/23/2023 | 02:00 (GMT) - 01/24/2023 | 04:05 (GMT)
3,Microsoft Azure Virtual Training Day: Migrating On-Premises Infrastructure and Data,01/23/2023 | 03:30 (GMT) - 01/24/2023 | 07:00 (GMT)
4,Microsoft Dynamics 365 Virtual Training Day: Fundamentals (ERP)​,23/01/2023 | 14:00 (IST) - 24/01/2023 | 17:30 (IST)
5,Microsoft Envision Europe: The Future of Customer Experience,01/23/2023 | 14:00 - 15:00 (WEST)
6,Microsoft Power Platform Virtual Training Day: Rapidly Build Apps,01/23/2023 | 14:00 (GMT) - 01/24/2023 | 16:00 (GMT)
7,Modern Work Discovery Series: What's New: The Evolution of the Meeting,01/24/2023 | 10:00 - 11:00 (GMT)
8,Microsoft Azure Virtual Training Day: Data Fundamentals,01/24/2023 | 10:00 (GMT) - 01/25/2023 | 13:15 (GMT)
9,Microsoft Azure Virtual Training Day: Azure Virtual Desktop,01/25/2023 | 02:00 - 05:05 (GMT)
10,Microsoft Tech Briefings: Achieve a holistic data risk management strategy with Microsoft Purview,01/25/2023 | 10:00 - 11:00 (GMT)
11,Microsoft Security Virtual Training Day: Defend Against Threats and Secure Cloud Environments,01/25/2023 | 10:00 (GMT) - 01/26/2023 | 12:50 (GMT)
12,Improve your monetization of Microsoft 365 with new AI-driven Insights! [APAC003],01/26/2023 | 12:00 - 13:00 (SST)
13,Microsoft Azure Virtual Training Day: Cloud-Native Apps,01/26/2023 | 10:00 (GMT) - 01/27/2023 | 12:35 (GMT)
14,Microsoft Virtual Briefing - App Innovation,01/26/2023 | 14:00 - 16:00 (GMT)
15,Microsoft Teams Rooms training - The future of Teams meetings,01/26/2023 | 16:00 - 17:00 (WEST)
