,Names,Date and Time,Month
0,Hackshetra'23,"Jan 21 - 22, 2023",Jan
1,Octahacks 5.0,"Dec 15, 2022 - Jan 23, 2023 ",Dec
2,Ingenious Hackathon 4.0,Online,Online
3,LNMHacks 5.0,"Jan 28 - 29, 2023",Jan
4,Castor 2023,"Jan 27 - 30, 2023",Jan
5,Unscript 2k23,"Jan 27 - 29, 2023",Jan
6,ETHforAll,"Feb 11 - 12, 2023",Feb
7,Hackoverflow 2.0 (Phase-1),"Feb 4 - 19, 2023",Feb
8,DotSlash 6.0,"Feb 18 - 19, 2023",Feb
9,Smart Hackathon 2023,"Feb 3 - 5, 2023",Feb
10,Hack Infinity 3.0,"Feb 9 - 10, 2023",Feb
11,UnScript Rookies Hackathon 2k23,"Feb 10 - 11, 2023",Feb
12,Technex - Hackathon'23,"Feb 10 - 12, 2023",Feb
13,HACK JMI,"Jan 19 - Feb 11, 2023",Jan
14,Vashist,"Feb 25 - 26, 2023",Feb
15,Reckon 4.0,"Feb 24 - 26, 2023",Feb
16,HACK BREWER,"Feb 17 - 24, 2023",Feb
17,Diversion 2k23,"Mar 10 - 11, 2023",Mar
18,DUHacks 2.0,"Apr 26 - 28, 2023",Apr
19,HackMol 4.0,"Feb 2 - 21, 2023",Feb
20,Ur-Hackathon 2.0,"Jan 18 - Feb 26, 2023",Jan
21,Innerve 7.0,"Feb 10 - Mar 13, 2023",Feb
22,Nebula,"Mar 14 - 27, 2023",Mar
23,CYBER SHADEZ 2023,"Mar 15 - 16, 2023",Mar
24,Hult Prize BVCOE 2023,"Apr 21 - 22, 2023",Apr
